Feature,Importance
char_freq_%21,0.11917806990428864
char_freq_%24,0.11342275482292413
word_freq_remove,0.07427101774375489
word_freq_free,0.06017711469265361
capital_run_length_average,0.05907162647064727
word_freq_your,0.05449102718583671
capital_run_length_longest,0.052516866864053
capital_run_length_total,0.05034896702614682
word_freq_hp,0.04289600954157663
word_freq_money,0.032548093846204024
word_freq_our,0.0325194747666187
word_freq_you,0.02836541655163546
word_freq_000,0.02664986500708647
word_freq_george,0.022765173413782976
word_freq_hpl,0.0185675417877855
word_freq_edu,0.01797256671545214
word_freq_internet,0.012634508300864404
word_freq_1999,0.012059794890125992
char_freq_%28,0.011925434308238083
word_freq_will,0.011730485494695983
word_freq_business,0.011647133187378096
word_freq_all,0.011312640570623882
word_freq_re,0.01039821814936408
word_freq_email,0.010128390674993168
word_freq_over,0.009655743467170224
word_freq_mail,0.008967285182814191
word_freq_receive,0.008659847112196065
word_freq_meeting,0.005326632379371492
word_freq_650,0.005270916209783147
char_freq_%3B,0.0049119346187727455
word_freq_address,0.0044973784423071456
word_freq_85,0.004345076076748589
word_freq_credit,0.004174796620068708
word_freq_order,0.0038735323725000996
word_freq_technology,0.003865261657809413
word_freq_make,0.0038444914278440642
word_freq_people,0.003548443865526927
char_freq_%23,0.003343669997537394
word_freq_labs,0.0028917990891297383
word_freq_data,0.0027307929511122763
word_freq_pm,0.002663630059953872
char_freq_%5B,0.0023147562795474523
word_freq_font,0.002008681160371779
word_freq_project,0.0017710340682142913
word_freq_lab,0.0016918771150760178
word_freq_original,0.0016896945830914866
word_freq_addresses,0.0016005714084751568
word_freq_telnet,0.0015903933102632683
word_freq_report,0.0015575314241956248
word_freq_conference,0.0009603395294202786
word_freq_415,0.0008483354742866955
word_freq_direct,0.0008330420240534757
word_freq_3d,0.0007758151870638815
word_freq_cs,0.0007525992624633519
word_freq_857,0.0006625621276076056
word_freq_parts,0.0006401528473861534
word_freq_table,0.00013319075110685506
