destination_port,flow_duration,total_fwd_packets,total_backward_packets,total_fwd_bytes,total_backward_bytes,flow_bytes_per_second,flow_packets_per_second,syn_flag_count,ack_flag_count,fwd_iat_mean,bwd_iat_mean,is_attack
389.0,113095465.0,48.0,24.0,9668.0,10012.0,174.0122825,0.636630302,1.0,1.0,2406286.489,4917177.522,0
389.0,113473706.0,68.0,40.0,11364.0,12718.0,212.2253767,0.95176234,1.0,1.0,1693637.403,2908399.744,0
0.0,119945515.0,150.0,0.0,0.0,0.0,0.0,1.25056781,0.0,0.0,805003.4564,0.0,0
443.0,60261928.0,9.0,7.0,2330.0,4221.0,108.7087688,0.265507602,0.0,0.0,7532741.0,35324.5,0
53.0,269.0,2.0,2.0,102.0,322.0,1576208.178,14869.88848,0.0,0.0,4.0,4.0,0
123.0,30352.0,1.0,1.0,48.0,48.0,3162.888772,65.89351608,0.0,0.0,0.0,0.0,0
59135.0,48.0,1.0,1.0,6.0,6.0,250000.0,41666.66667,0.0,1.0,0.0,0.0,0
5353.0,89501767.0,223.0,0.0,26257.0,0.0,293.3685097,2.491570921,0.0,0.0,403161.1126,0.0,0
53.0,23527.0,1.0,1.0,34.0,109.0,6078.123008,85.00871339,0.0,0.0,0.0,0.0,0
53.0,23978.0,2.0,2.0,46.0,196.0,10092.58487,166.8195846,0.0,0.0,4.0,4.0,0
123.0,107015212.0,14.0,14.0,672.0,672.0,12.55896218,0.261645045,0.0,0.0,8231931.077,8231934.615,0
138.0,75288199.0,21.0,0.0,4935.0,0.0,65.54812129,0.278928176,0.0,0.0,3764409.95,0.0,0
137.0,3378994.0,205.0,0.0,13760.0,0.0,4072.217944,60.66894466,0.0,0.0,16563.69608,0.0,0
137.0,3.0,2.0,0.0,124.0,0.0,41300000.0,666666.6667,0.0,0.0,3.0,0.0,0
138.0,76354195.0,42.0,0.0,9471.0,0.0,124.040336,0.550068009,0.0,0.0,1862297.439,0.0,0
53.0,25117.0,1.0,1.0,45.0,77.0,4857.267986,79.62734403,0.0,0.0,0.0,0.0,0
53.0,25926.0,1.0,1.0,45.0,106.0,5824.269074,77.14263674,0.0,0.0,0.0,0.0,0
