timestamp,user_id,role,action,resource,success,hour_of_day,day_of_week,is_anomaly
2026-04-01T01:06:24,u_0015,Admin,db_query,admin/users,1,1,2,0
2026-04-01T01:31:15,u_0048,Admin,file_access,admin/security,1,1,2,0
2026-04-01T01:41:44,u_0014,Admin,db_query,admin/security,1,1,2,0
2026-04-01T01:54:46,u_0031,Admin,db_query,admin/config,1,1,2,0
2026-04-01T01:55:59,u_0023,Admin,file_upload,admin/logs,1,1,2,0
2026-04-01T02:08:18,u_0031,Admin,db_query,admin/audit,1,1,2,0
2026-04-01T02:08:39,u_0024,Admin,file_access,admin/logs,1,1,2,0
2026-04-01T02:27:55,u_0015,Admin,file_upload,admin/groups,1,2,2,0
2026-04-01T02:32:21,u_0025,Support,file_access,support/kb,1,1,2,0
2026-04-01T02:36:12,u_0010,Support,db_write,docs/support,1,2,2,0
2026-04-01T02:39:46,u_0024,Admin,db_write,admin/logs,1,1,2,0
2026-04-01T02:43:50,u_0023,Admin,login,admin/groups,1,1,2,0
2026-04-01T02:52:19,u_0023,Admin,file_access,admin/audit,1,2,2,0
2026-04-01T02:53:33,u_0025,Support,file_access,support/kb,1,2,2,0
2026-04-01T03:09:10,u_0044,Support,file_access,monitoring,1,2,2,0
2026-04-01T03:14:51,u_0023,Admin,file_download,admin/users,1,2,2,0
2026-04-01T03:15:59,u_0023,Admin,file_access,admin/logs,1,2,2,0
2026-04-01T03:24:26,u_0024,Admin,file_access,admin/logs,1,3,2,0
2026-04-01T03:25:25,u_0048,Admin,login,admin/config,1,2,2,0
2026-04-01T03:32:41,u_0011,Support,file_access,support/kb,0,3,2,0
2026-04-01T03:39:51,u_0024,Admin,login,admin/users,1,2,2,0
2026-04-01T03:43:55,u_0040,Admin,db_query,admin/groups,1,3,2,0
2026-04-01T04:18:31,u_0011,Support,file_download,support/tickets,1,4,2,0
2026-04-01T04:21:53,u_0044,Support,db_query,monitoring,1,3,2,0
2026-04-01T04:31:02,u_0040,Admin,file_access,admin/logs,1,4,2,0
2026-04-01T04:36:22,u_0025,Support,file_access,monitoring,1,4,2,0
2026-04-01T04:42:18,u_0029,Support,file_download,monitoring,1,4,2,0
2026-04-01T04:47:04,u_0024,Admin,db_query,admin/users,1,3,2,0
