num_objects,num_pages,file_size_kb,compression_ratio,num_fonts,num_images,num_streams,stream_to_obj_ratio,avg_stream_length,has_metadata,has_outline,num_bookmarks,has_js,num_js_actions,has_openaction,has_launch_action,has_uri_action,has_embedded_file,num_embedded_files,has_acroform,has_richmedia,num_suspicious_strings,num_encoded_streams,max_entropy,avg_entropy,entropy_variance,has_obfuscated_names,has_trailer_after_eof,has_overlapping_objects,has_malformed_crossref,has_nonstandard_encoding,label
166,49,14.244952238329468,0.441384399069668,6,20,44,0.26506024096385544,1173.2301344885816,1,0,10,0,0,0,0,0,0,0,0,0,0,0,3.35621747965104,3.991450410367907,1.8064801429020234,0,0,0,0,0,0
21,49,14.10994432392409,0.6114141484013622,10,28,70,3.3333333333333335,429.1038591352405,1,1,8,0,0,0,0,0,0,0,1,0,0,0,3.9508972791760395,3.995446699933554,0.9529751659760837,0,0,0,0,0,0
79,24,39.74520517358194,0.30637827458132433,4,7,56,0.7088607594936709,720.2288129707656,0,0,19,0,0,0,0,0,0,0,1,0,0,3,3.5386206552832244,2.664265696164312,1.9364977665812781,0,0,0,0,0,0
63,19,57.083435956086106,0.6112100972578612,15,8,82,1.3015873015873016,1181.2835201495543,1,0,8,0,0,0,0,0,0,0,1,0,0,1,4.65649032977499,3.2717454276022453,0.7532786282973376,0,0,0,0,0,0
139,23,121.24790700097813,0.6408835141243546,3,30,97,0.697841726618705,12407.774937188926,1,1,11,0,0,0,0,0,0,0,0,0,0,2,3.244078779230843,2.7900393927215927,1.670205650362354,0,0,0,0,0,0
85,30,6.453189207773003,0.5831053455187374,9,6,48,0.5647058823529412,528.5232019854379,1,0,18,0,0,0,0,0,0,0,0,0,0,1,3.606832689862814,4.008285143373778,1.1465493228451922,0,0,0,0,0,0
105,5,27.775833733653347,0.6802428587750224,6,3,76,0.7238095238095238,310.97542546652227,1,1,19,0,0,0,0,0,0,0,0,0,0,2,3.244505962343652,3.659030265015147,1.8751196825856802,0,0,0,0,0,0
175,23,7.777351953845271,0.6875064158272772,5,29,20,0.11428571428571428,38.976811580051084,1,0,15,0,0,0,0,0,0,0,0,0,0,3,4.708473318376937,3.156923637508111,0.7635759168116156,0,0,0,0,0,0
417,16,48.43986384027033,0.39152587895250934,3,2,45,0.1079136690647482,12.092072850594995,1,0,0,0,0,0,1,0,0,0,1,0,0,8,5.353373807604421,4.848805713428718,3.9012705202828037,1,0,0,0,1,1
161,47,25.091668057743725,0.45947779657987753,7,6,31,0.19254658385093168,1506.6659215120617,1,1,1,0,0,0,0,0,0,0,0,0,0,3,4.538812016348961,3.4660130713502757,1.8093841678171287,0,0,0,0,0,0
479,19,2.587783664195436,0.44183295811242096,0,3,61,0.12734864300626306,83.67847557769687,0,0,1,1,2,0,0,0,0,0,0,0,0,3,5.9721670543808765,5.3082206842173125,2.6779230784076815,1,0,1,0,0,1
73,48,9.931439482240755,0.6742085141857612,9,20,34,0.4657534246575342,1229.305793949166,0,0,13,0,0,0,0,0,0,0,1,0,0,3,3.8598995340601503,3.5583407289830564,1.0416947107091707,0,0,0,0,0,0
22,8,14.07223098863762,0.3283258805543058,9,30,50,2.272727272727273,842.3581636589272,1,1,17,0,0,0,0,0,0,0,1,0,0,3,3.9482760072452114,3.8500864191073747,1.7282372184345551,0,0,0,0,0,0
143,24,38.62472479990695,0.477573459881245,7,15,65,0.45454545454545453,19.025085718866666,1,1,12,0,0,0,0,0,0,0,0,0,0,2,3.613517757447606,2.4655923373491717,0.6751355525211593,0,0,0,0,0,0
127,48,47.40525725765011,0.5682902960314893,14,25,49,0.3858267716535433,2219.0108673291516,0,0,3,0,0,0,0,0,0,0,0,0,0,1,5.273304689862309,4.214127618202706,0.8325365617055135,0,0,0,0,0,0
443,11,45.59440934501724,0.2580769591123229,2,3,122,0.27539503386004516,3013136.159430053,0,0,1,1,4,0,0,1,0,0,0,0,31,5,6.140948902035731,5.944155435651695,3.511618928009964,0,1,0,0,1,1
277,13,8.852812944141286,0.27564447760023536,3,4,79,0.2851985559566787,990.8756133163898,1,0,2,1,0,1,1,1,0,0,0,0,13,13,7.543786639504459,6.200074173926099,3.6985596147265607,0,1,0,0,0,1
147,33,14.221589172268159,0.6287236211549002,7,18,21,0.14285714285714285,107.86139437780241,1,1,1,0,0,0,0,0,0,0,0,0,0,1,5.8976202760323595,3.850909946397446,1.4132722550795833,0,0,0,0,0,0
48,43,31.988066895364728,0.3541528173237824,8,26,52,1.0833333333333333,4586.981416506181,1,0,2,0,0,0,0,0,0,0,0,0,0,3,3.5574800242682634,2.5562940830410694,1.9817890298826712,0,0,0,0,0,0
114,32,33.726208251555214,0.41025769209691093,9,9,14,0.12280701754385964,141.37588267772946,0,1,4,0,0,0,0,0,0,0,1,0,0,0,3.350636651078887,4.061710333406918,1.260273223833988,0,0,0,0,0,0
110,6,15.074583030161277,0.3112659976067064,1,13,51,0.4636363636363636,369.34399578031235,1,0,17,0,0,0,0,0,0,0,0,0,0,3,3.7357643661315807,4.189095147766908,1.6642974330899112,0,0,0,0,0,0
179,49,16.05668459947836,0.5780551890109991,2,3,36,0.2011173184357542,1499.787580814684,1,0,7,0,0,0,0,0,0,0,0,0,0,2,5.134712008101003,3.5119315668302096,0.9155083624834113,0,0,0,0,0,0
227,5,4.518904707535839,0.38844757303200006,4,2,120,0.5286343612334802,956.9609184538599,0,0,3,1,8,0,1,0,0,0,1,0,0,4,5.6983662569979545,5.687542879021575,1.2022760041197467,0,0,1,0,0,1
93,13,180.56477168380727,0.6582080481523304,12,11,10,0.10752688172043011,50.93042287335987,1,0,12,0,0,0,0,0,0,0,0,0,0,3,4.064661321578939,3.195497447545275,1.806004939015164,0,0,0,0,0,0
188,44,4.095171827514408,0.3774915144786357,13,13,92,0.48936170212765956,389.6558777946612,1,0,15,0,0,0,0,0,0,0,0,0,0,3,3.3119373708221254,3.891048522769653,1.1499065073406396,0,0,0,0,0,0
76,9,1.0884702291968147,0.39534930850121,0,2,97,1.2763157894736843,141.07092738004147,0,0,2,1,9,1,0,1,1,2,0,1,0,7,7.787205688713398,5.403872993374564,2.370863829590587,1,1,1,0,0,1
327,9,1.3730484086037895,0.3127442889772313,2,0,36,0.11009174311926606,409.8377429155414,0,0,3,1,2,0,0,0,0,0,0,0,38,10,7.842648436302959,6.09004658962624,3.9500421663957654,0,0,1,1,0,1
96,12,24.964107187009706,0.6912894674325498,1,30,35,0.3645833333333333,460.4858972204695,1,0,10,0,0,0,0,0,0,0,0,0,0,3,3.027164907851414,4.302667459514157,1.0207493802561924,0,0,0,0,0,0
20,7,22.886387292363448,0.5698015115064949,7,8,92,4.6,620.0061633815621,1,0,1,0,0,0,0,0,0,0,0,0,0,3,5.804374807283147,3.5609458069099995,1.5806161712347975,0,0,0,0,0,0
110,4,28.00306621839802,0.5081230803615173,1,9,68,0.6181818181818182,90.2900193733021,1,0,15,0,0,0,0,0,0,0,0,0,0,0,5.541517096180403,3.0773194233688512,1.8236835963778892,0,0,0,0,0,0
100,8,73.6553524398404,0.6588441039810308,12,17,93,0.93,71.21530035091737,1,1,15,0,0,0,0,0,0,0,0,0,0,2,5.941531891387539,4.081570908317669,0.9443696948977167,0,0,0,0,0,0
174,2,2.788012859720403,0.5985808515428456,14,25,9,0.05172413793103448,90.1830565860707,1,1,17,0,0,0,0,0,0,0,1,0,0,3,3.1497328498525476,3.221821882695518,1.4713150967108943,0,0,0,0,0,0
152,27,9.645256647175552,0.614443319103295,15,25,54,0.35526315789473684,250.58232644595213,1,0,3,0,0,0,0,0,0,0,0,0,0,3,4.083638013257655,2.7103787852685617,1.4569997132434713,0,0,0,0,0,0
44,46,31.611817849962048,0.6054258488104824,15,24,86,1.9545454545454546,395.7069233936121,0,1,16,0,0,0,0,0,0,0,0,0,0,2,5.188632474307758,2.5869421264559778,1.7020130539568064,0,0,0,0,0,0
399,14,13.775151733249958,0.2414910646342402,3,4,9,0.022556390977443608,41105.71058000374,1,0,3,1,3,1,0,0,0,0,0,0,44,22,7.726148531756884,5.993700138327654,3.8645957496587933,0,1,0,1,0,1
171,14,3.075437888726747,0.38804453036190123,13,0,48,0.2807017543859649,1393.2896600981387,1,0,13,0,0,0,0,0,0,0,0,0,0,0,5.4221900874944815,3.383235405909094,1.9287103904928677,0,0,0,0,0,0
179,35,26.0359642623948,0.5952167220056825,15,13,21,0.11731843575418995,418.88330968844446,1,1,3,0,0,0,0,0,0,0,0,0,0,3,3.318657328448914,4.361756435396416,1.6580705015791968,0,0,0,0,0,0
135,31,91.3334926982311,0.4090496002934135,1,10,31,0.22962962962962963,1893.4699523119154,1,1,17,0,0,0,0,0,0,0,0,0,0,2,4.6464001644334125,3.5576049821437072,1.988453192353406,0,0,0,0,0,0
190,37,27.870511011095754,0.6524537655792475,15,17,35,0.18421052631578946,20.49390859526962,0,1,14,0,0,0,0,0,0,0,0,0,0,0,3.072406895237826,4.291366115948158,0.9602579684201663,0,0,0,0,0,0
388,13,2.9664161666265585,0.2933355024285247,4,1,61,0.15721649484536082,605.8490917865496,0,0,1,1,4,0,0,0,1,5,1,0,40,19,5.29777125239991,3.8159540173709785,1.019756300525562,1,0,0,0,0,1
176,27,4.812147191678903,0.6333499097017548,2,2,11,0.0625,553.0168326931955,1,0,20,0,0,0,0,0,0,0,0,0,0,2,4.362884496740686,2.727608204487901,1.4430106011038872,0,0,0,0,0,0
69,49,45.95476346678289,0.43800826664418663,6,18,59,0.855072463768116,2180.0445305760145,1,0,5,0,0,0,0,0,0,0,0,0,0,3,3.547262468074425,3.803594415474639,1.008609259172319,0,0,0,0,0,0
152,21,6.511516061882315,0.3150989267869733,12,19,69,0.45394736842105265,73.15973369087558,0,0,8,0,0,0,0,0,0,0,0,0,0,2,5.98954653164225,3.4690591435062155,0.5359324723471288,0,0,0,0,0,0
86,7,95.88965979165232,0.49870485979124146,15,18,17,0.19767441860465115,843.6780825860006,1,1,5,0,0,0,0,0,0,0,1,0,0,2,4.762907058558039,2.243151065264438,0.8368474231426135,0,0,0,0,0,0
150,30,44.73257339543282,0.3045558672354211,4,30,26,0.17333333333333334,24827.073335563186,1,1,15,0,0,0,0,0,0,0,0,0,0,1,3.2496736311561945,3.5916917555290597,0.8442916093349728,0,0,0,0,0,0
55,1,11.955479607336928,0.6169988130226526,10,21,22,0.4,670.9945127730128,1,0,19,0,0,0,0,0,0,0,0,0,0,0,3.2437999941864817,2.000291341984592,1.639059400911247,0,0,0,0,0,0
51,38,8.640006952198865,0.6047851355557157,12,19,46,0.9019607843137255,258.4933216117665,1,1,8,0,0,0,0,0,0,0,0,0,0,3,4.920247357732309,2.426082756929044,0.9425911236677094,0,0,0,0,0,0
82,43,5.063509517621568,0.5219593826292244,10,23,26,0.3170731707317073,29.89322107950598,1,1,13,0,0,0,0,0,0,0,0,0,0,0,4.434098522652889,3.145168702378148,0.7657552841408821,0,0,0,0,0,0
201,17,7.350317484961946,0.34324733974682875,2,2,69,0.34328358208955223,3.3285312746902767,1,0,1,1,2,1,0,0,1,5,0,0,13,28,7.199454426019509,3.816985924393433,3.7702338610411035,1,1,0,0,1,1
437,2,3.385368592968916,0.29140201483957895,5,5,66,0.15102974828375287,1062.281324641451,0,0,0,1,8,1,0,1,1,2,0,0,13,22,6.378117054032913,5.24469479184409,3.350457855152907,1,1,0,0,1,1
151,13,4.612169815271961,0.33431834891532236,2,0,138,0.9139072847682119,17449.932615757774,0,0,2,1,6,1,1,0,0,0,0,0,0,16,6.413768688551727,3.652744029646139,3.1604312363222364,1,1,0,0,0,1
178,24,5.187320275181626,0.47375795755094197,10,1,66,0.3707865168539326,1407.9344505564654,0,0,19,0,0,0,0,0,0,0,0,0,0,2,3.185153368133171,4.198850535684216,0.8592940855982412,0,0,0,0,0,0
42,12,14.765488839861545,0.12754162579737952,4,1,131,3.119047619047619,3131.4253120928815,0,0,1,1,9,1,0,1,0,0,0,0,0,23,5.038139133265229,5.4464542139106165,3.6672068861389313,1,1,1,1,1,1
85,50,6.964238658427481,0.5588280665035495,14,7,68,0.8,148.3357027293204,1,0,0,0,0,0,0,0,0,0,1,0,0,2,4.895650029614246,2.786902239188734,1.987819902650593,0,0,0,0,0,0
159,7,20.53370538151549,0.5495628131431586,13,19,74,0.46540880503144655,6.762137562876041,1,0,18,0,0,0,0,0,0,0,0,0,0,1,5.082604814561035,3.6053595875074462,0.6997605771730641,0,0,0,0,0,0
125,8,19.520662928128388,0.5752148534212516,15,25,55,0.44,29.571551082483246,1,1,3,0,0,0,0,0,0,0,1,0,0,3,4.504671769847294,2.168748121723869,1.915038062717271,0,0,0,0,0,0
69,13,31.456324736676493,0.3630101311342113,5,0,81,1.173913043478261,818.4896463198866,1,0,3,0,0,1,1,0,1,3,1,0,13,25,5.771111309718783,4.236114276435139,3.0165099106727067,0,1,0,0,0,1
105,15,33.223592018331864,0.6011944772156741,5,19,57,0.5428571428571428,376.40619288996976,1,0,11,0,0,0,0,0,0,0,0,0,0,3,3.932041523308767,2.2789808923635135,1.104953830397871,0,0,0,0,0,0
97,47,38.601192634084036,0.47217096412839604,12,10,49,0.5051546391752577,87122.34998802414,1,1,16,0,0,0,0,0,0,0,0,0,0,1,5.100885191647814,3.1154726267583546,0.8077003570748094,0,0,0,0,0,0
201,7,1.2462296233036636,0.3658624796355755,4,2,47,0.23383084577114427,2059.932717230808,0,0,3,1,8,0,0,0,0,0,0,0,0,15,5.614426494557043,5.792105497869109,1.1700588445875981,1,1,1,0,0,1
309,2,41.331956154175565,0.4174994186817792,2,3,14,0.045307443365695796,364.6793633428941,1,0,2,1,6,1,0,1,0,0,0,1,47,18,6.1966754903185866,5.598200198522019,2.7423185175454807,0,0,0,0,1,1
169,39,181.0615517295943,0.651147602764205,1,18,54,0.31952662721893493,801.6809387858932,1,0,11,0,0,0,0,0,0,0,0,0,0,3,4.794716173183889,2.37753115534185,0.733389499099621,0,0,0,0,0,0
224,8,1.7078406795153664,0.47731144180563867,0,4,100,0.44642857142857145,34450.69013802888,1,0,1,1,9,0,0,1,0,0,1,0,18,23,5.893178018663562,4.899292882140372,1.9861633517345254,0,0,1,0,1,1
122,5,14.214695537961182,0.46158201739484217,5,11,48,0.39344262295081966,127.94264264519224,1,1,8,0,0,0,0,0,0,0,0,0,0,0,4.5783794432887,2.5787022095401992,1.8434502595881295,0,0,0,0,0,0
214,4,0.8764989956282468,0.17718184025927536,1,2,84,0.3925233644859813,10942.973501759698,0,1,3,1,2,0,0,1,0,0,1,0,0,21,5.246054685476437,5.181767275774643,2.2801269859142343,1,0,0,0,1,1
67,44,50.79347447100525,0.609716516152464,8,29,99,1.4776119402985075,166.7646035342346,1,0,19,0,0,0,0,0,0,0,1,0,0,0,5.844260215914077,3.8442810500589704,1.6588321084629163,0,0,0,0,0,0
167,17,17.144793165261255,0.49721205006352087,15,12,85,0.5089820359281437,279.30160339061683,1,1,10,0,0,0,0,0,0,0,1,0,0,0,5.068481192818236,2.280413833413724,1.2983989707631325,0,0,0,0,0,0
138,41,2.8979963858678626,0.31682725690398267,1,30,80,0.5797101449275363,631.6538461663174,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5.24632285113017,2.6149707120075454,1.2202127273429733,0,0,0,0,0,0
171,40,5.8070837886050555,0.5423467390047553,9,15,37,0.21637426900584794,1240.0958521635964,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5.217911507714784,4.025042515691222,1.805564563054216,0,0,0,0,0,0
