ioc_type,value,source,confidence,severity,tags,description,first_seen,reference_url
ip,185.130.5.27,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,91.121.87.34,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,5.188.62.14,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,194.26.29.113,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,45.142.212.77,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,89.248.165.80,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,91.240.118.83,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,185.141.62.253,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,31.220.59.11,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,94.102.61.90,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,103.253.42.100,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,182.253.106.80,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,45.33.32.156,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,104.248.50.85,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,167.71.5.83,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,68.183.191.110,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,192.241.214.181,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,138.197.62.204,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,159.89.209.50,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,165.227.88.157,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
domain,evil-malware.xyz,sample_feed,0.8,high,malicious-domain,Known malicious domain,2026-06-22T04:33:42Z,
domain,phishing-bank.tk,sample_feed,0.8,high,malicious-domain,Known malicious domain,2026-06-22T04:33:42Z,
domain,steal-login.ml,sample_feed,0.8,high,malicious-domain,Known malicious domain,2026-06-22T04:33:42Z,
domain,download-virus.ga,sample_feed,0.8,high,malicious-domain,Known malicious domain,2026-06-22T04:33:42Z,
domain,free-prize-win.cf,sample_feed,0.8,high,malicious-domain,Known malicious domain,2026-06-22T04:33:42Z,
domain,malware-c2.top,sample_feed,0.8,high,malicious-domain,Known malicious domain,2026-06-22T04:33:42Z,
domain,ransomware-pay.work,sample_feed,0.8,high,malicious-domain,Known malicious domain,2026-06-22T04:33:42Z,
domain,botnet-ctrl.download,sample_feed,0.8,high,malicious-domain,Known malicious domain,2026-06-22T04:33:42Z,
domain,credential-harvest.bid,sample_feed,0.8,high,malicious-domain,Known malicious domain,2026-06-22T04:33:42Z,
domain,exploit-kit.loan,sample_feed,0.8,high,malicious-domain,Known malicious domain,2026-06-22T04:33:42Z,
domain,phishing-verify.date,sample_feed,0.8,high,malicious-domain,Known malicious domain,2026-06-22T04:33:42Z,
domain,maldoc-delivery.racing,sample_feed,0.8,high,malicious-domain,Known malicious domain,2026-06-22T04:33:42Z,
domain,payload-staging.xyz,sample_feed,0.8,high,malicious-domain,Known malicious domain,2026-06-22T04:33:42Z,
domain,exfil-data.top,sample_feed,0.8,high,malicious-domain,Known malicious domain,2026-06-22T04:33:42Z,
domain,darknet-market.tk,sample_feed,0.8,high,malicious-domain,Known malicious domain,2026-06-22T04:33:42Z,
hash,e1112134b6dcc8f54d7f7c1b9c5f1e3a,sample_feed,0.9,high,malware-hash,Known malware hash,2026-06-22T04:33:42Z,
hash,f2a3245c7d8e9f0a1b2c3d4e5f6a7b8c,sample_feed,0.9,high,malware-hash,Known malware hash,2026-06-22T04:33:42Z,
hash,a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6,sample_feed,0.9,high,malware-hash,Known malware hash,2026-06-22T04:33:42Z,
hash,b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7,sample_feed,0.9,high,malware-hash,Known malware hash,2026-06-22T04:33:42Z,
hash,c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8,sample_feed,0.9,high,malware-hash,Known malware hash,2026-06-22T04:33:42Z,
hash,d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9,sample_feed,0.9,high,malware-hash,Known malware hash,2026-06-22T04:33:42Z,
url,http://evil-malware.xyz/loader.exe,sample_feed,0.8,high,malicious-url,Known malicious URL,2026-06-22T04:33:42Z,
url,http://phishing-bank.tk/login/verify.html,sample_feed,0.8,high,malicious-url,Known malicious URL,2026-06-22T04:33:42Z,
url,http://ransomware-pay.work/payment/bc1q...,sample_feed,0.8,high,malicious-url,Known malicious URL,2026-06-22T04:33:42Z,
url,https://malware-c2.top/command?token=abc123,sample_feed,0.8,high,malicious-url,Known malicious URL,2026-06-22T04:33:42Z,
