ioc_type,value,source,confidence,severity,tags,description,first_seen,reference_url
ip,103.253.42.100,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,104.248.50.85,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,138.197.62.204,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,159.89.209.50,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,165.227.88.157,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,167.71.5.83,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,182.253.106.80,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,185.130.5.27,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,185.141.62.253,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,192.241.214.181,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,194.26.29.113,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,31.220.59.11,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,45.142.212.77,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,45.33.32.156,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,5.188.62.14,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,68.183.191.110,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,89.248.165.80,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,91.121.87.34,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,91.240.118.83,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
ip,94.102.61.90,sample_feed,0.7,medium,malicious-ip,Known malicious IP,2026-06-22T04:33:42Z,
