pair,detector,keypoints,matches,inliers,ratio,latency_ms,note
colonnade,SIFT,41,11,9,0.818,195.52,
colonnade,AKAZE,299,118,99,0.839,139.14,
colonnade,ORB,271,94,86,0.915,2232.33,
interior,SIFT,4000,1256,1146,0.912,267.19,
interior,AKAZE,3633,1492,1471,0.986,221.99,
interior,ORB,4000,1423,1355,0.952,92.95,
street,SIFT,179,56,48,0.857,169.04,
street,AKAZE,200,89,89,1.0,128.64,
street,ORB,377,133,122,0.917,22.74,
foliage,SIFT,1700,562,520,0.925,202.0,
foliage,AKAZE,1568,649,644,0.992,146.62,
foliage,ORB,3824,1349,1283,0.951,78.02,
geometry,SIFT,4000,1427,1362,0.954,278.87,
geometry,AKAZE,4996,2077,2039,0.982,213.12,
geometry,ORB,4000,1438,1388,0.965,107.66,
texture,SIFT,948,312,290,0.929,185.4,
texture,AKAZE,582,248,246,0.992,145.02,
texture,ORB,2072,709,690,0.973,41.13,
statue_of_liberty,SIFT,4000,1476,1430,0.969,6527.97,
statue_of_liberty,AKAZE,28391,12428,12297,0.989,5522.28,
statue_of_liberty,ORB,4000,1575,1517,0.963,370.24,
sceneA,SIFT,2423,200,6,0.03,330.77,
sceneA,AKAZE,3289,169,4,0.024,260.44,
sceneA,ORB,3428,459,2,0.004,159.61,
sceneB,SIFT,763,58,6,0.103,305.25,
sceneB,AKAZE,595,80,6,0.075,217.73,
sceneB,ORB,2811,306,8,0.026,153.73,
