Station_ID,Station_Name,Longitude,Latitude,Elevation_m,Rainfall_mm,Days_Observed,Distance_km,Subset,Period
IN020032400,COIMBATORE,76.967,11.0,409.0,98.2,31,2.2,Validation,October 1965
IN020031700,COIMBATORE/PEELAMED,77.05,11.033,399.0,58.8,31,10.4,Training,October 1965
IN020030901,PERIYANAICKAMPAL,76.95,11.15,436.0,124.0,31,14.8,Training,October 1965
IN020031301,SULUR,77.13,11.03,329.0,58.0,31,19.1,Validation,October 1965
IN020031400,ANNUR,77.12,11.23,102.0,157.0,31,29.7,Validation,October 1965
IN020031001,METTUPALAYAM,76.95,11.3,326.0,66.5,31,31.5,Validation,October 1965
IN020031901,CINNAKALLORE,77.18,11.25,330.0,146.0,31,35.6,Training,October 1965
IN020031900,PALLADAM,77.3,10.98,366.0,97.0,31,37.8,Training,October 1965
IN020031200,AVANASHI,77.28,11.2,324.0,153.8,31,40.8,Training,October 1965
IN020031600,POLLACHI,77.02,10.65,270.0,124.6,31,41.4,Validation,October 1965
IN010071000,PALGHAT,76.65,10.78,97.0,187.6,31,42.5,Training,October 1965
IN010070800,CHITTUR,76.73,10.7,67.0,227.0,31,43.0,Training,October 1965
IN020091600,KUNDHA (KAILKUND),76.65,11.27,1631.0,73.0,31,43.7,Training,October 1965
IN020031501,TIRUPPUR,77.35,11.1,299.0,74.8,31,44.0,Training,October 1965
IN020091700,KETTY,76.77,11.38,2042.0,40.0,31,45.2,Training,October 1965
IN020091900,KOTAGIRI,76.87,11.43,1908.0,69.5,31,46.9,Training,October 1965
IN020031800,ANAMALAIS,76.92,10.58,1372.0,318.0,31,48.7,Training,October 1965
IN020091500,OOTACAMUND      OBSY SR,76.73,11.4,2249.0,72.2,31,49.2,Training,October 1965
IN010071200,PARLI,76.55,10.8,61.0,261.0,31,50.4,Training,October 1965
IN020092300,KALLATTY,76.65,11.38,1753.0,150.0,31,52.4,Training,October 1965
IN010072200,MANNARGHAT,76.47,10.98,90.0,223.1,31,53.2,Training,October 1965
IN020092000,KODANAND,76.92,11.5,1989.0,107.3,31,53.9,Training,October 1965
