Station_ID,Station_Name,Longitude,Latitude,Elevation_m,Rainfall_mm,Days_Observed
IN010081800,ADUR,76.73,9.15,88.0,147.5,31
IN010070900,ALATTUR,76.55,10.63,66.0,201.0,31
IN010011000,ALLEPPEY        OBSY,76.33,9.55,4.0,87.3,31
IN010011100,AMBALAPUZA,76.37,9.38,1.0,109.9,31
IN020031800,ANAMALAIS,76.92,10.58,1372.0,318.0,31
IN009010500,ANEKAL,77.68,12.7,914.0,2.9,31
IN020031400,ANNUR,77.12,11.23,102.0,157.0,31
IN020120201,ARANTANGI,78.98,10.18,45.0,61.0,31
IN009111301,ARKALGUD,76.05,12.77,917.0,53.4,31
IN009165300,ARS NAGENAHALLI,76.67,12.38,762.0,31.6,31
IN010010400,ARUKUTTY,76.33,9.87,4.0,52.1,31
IN020101300,ARUPPUKOTTAI,78.1,9.5,61.0,50.2,31
IN009162100,ATTAGULIPUR,77.0,11.83,747.0,35.6,31
IN009011801,ATTIBELE,77.78,12.75,891.0,0.0,31
IN020111100,ATTUR,78.62,11.6,226.0,134.3,31
IN020031200,AVANASHI,77.28,11.2,324.0,153.8,31
IN020142200,AYIKUDI,77.33,9.0,161.0,128.4,31
IN010050400,BADAGARA,75.58,11.6,3.0,118.1,31
IN009162200,BAILUR,77.25,11.82,916.0,9.9,31
IN009082101,BALECOVE,76.08,11.98,924.0,46.5,31
IN009162901,BANDIPUR,76.63,11.67,1026.0,12.7,31
IN020051400,BARUR,78.32,12.33,462.0,79.6,31
IN009162801,BEGUR,76.67,11.93,763.0,38.1,31
IN009163400,BETTADAPURA,76.1,12.47,891.0,25.4,31
IN009082100,BHAGAMANDALA,75.52,12.38,876.0,163.7,31
IN020030600,BHAVANI,77.7,11.45,166.0,207.5,31
IN009162601,BILIKERE,76.42,12.33,899.0,55.9,31
IN020080301,BODINAYAKKANUR,77.35,10.02,369.0,164.2,31
IN010020200,CANNANORE,75.37,11.87,12.0,76.2,31
IN009160101,CHAMARAJNAGAR,76.93,11.92,716.0,35.6,31
IN010040900,CHANGENACHERY,76.55,9.45,8.0,138.4,31
IN009010600,CHANNAPATANA,77.2,12.65,669.0,23.3,31
IN020080800,CHATRAPATTI,77.62,10.47,323.0,106.0,31
IN020010701,CHENGAM,78.78,12.3,281.0,153.2,31
IN010011300,CHENGANNUR,76.62,9.32,7.0,137.1,31
IN010071400,CHERAPALASERI,76.32,10.87,67.0,116.0,31
IN009154300,CHINKURLI,76.6,12.53,693.0,6.5,31
IN010041400,CHINNAR,77.1,9.87,800.0,57.6,31
IN010070800,CHITTUR,76.73,10.7,67.0,227.0,31
IN020031901,CINNAKALLORE,77.18,11.25,330.0,146.0,31
IN020032400,COIMBATORE,76.967,11.0,409.0,98.2,31
IN020031700,COIMBATORE/PEELAMED,77.05,11.033,399.0,58.8,31
IN009162602,COWDALLI,77.43,12.07,609.0,31.0,31
IN010090400,CRANGANORE,76.2,10.22,8.0,113.0,31
IN020051000,DENKANIKOTTAH,77.78,12.53,892.0,39.0,31
IN020091100,DEVALA,76.4,11.47,892.0,61.0,31
IN010041200,DEVIKULAM,77.1,10.07,1495.0,167.7,31
IN020031500,DHARAPURAM,77.53,10.73,274.0,259.6,31
IN020051200,DHARMAPURI,78.17,12.13,396.0,187.1,31
IN020080600,DINDIGUL,77.97,10.35,280.0,136.8,31
IN009082200,DUBARI,75.92,12.37,1131.0,50.4,31
IN010032300,ERNAKULAM,76.28,9.98,3.0,88.0,31
IN020030700,ERODE,77.72,11.35,172.0,181.4,31
IN010040700,ETTUMANUR,76.57,9.67,4.0,203.2,31
IN010033100,FORT COCHIN,76.233,9.967,3.0,119.0,31
IN009081200,FRAZERPET,75.97,12.45,840.0,87.1,31
IN020092200,GLENMORGAN,76.5,11.58,2166.0,67.4,31
IN020030500,GOBICHETTIPALAYA,77.43,11.47,213.0,116.3,31
IN020120300,GRAND ANICUT,78.83,10.83,59.0,139.4,31
IN020091200,GUDALUR,76.5,11.5,1052.0,44.5,31
IN009160200,GUNDLUPET,76.68,11.8,798.0,68.5,31
IN009162900,HAMPAPURA,76.58,12.12,692.0,41.7,31
IN009162501,HANUR,77.28,12.08,632.0,79.8,31
IN010012800,HARIPAD,76.45,9.28,3.0,98.8,31
IN020051101,HARUR,78.5,12.05,396.0,43.0,31
IN009160500,HEGGADDEVANKOTE,76.33,12.08,722.0,11.7,31
IN009111500,HOLENARSIPUR,76.23,12.78,839.0,20.3,31
IN009153700,HONAKERE,76.7,12.72,841.0,5.0,31
IN020051100,HOSUR,77.83,12.72,949.0,9.6,31
IN009082400,HUDUGUR,75.93,12.48,838.0,56.4,31
IN009160300,HUNSUR,76.28,12.3,777.0,95.2,31
IN010020100,IRIKKUR,75.55,11.97,39.0,160.5,31
IN020141300,KADAYANALLUR,77.35,9.08,204.0,133.0,31
IN020021800,KALLAKKURICHCHI,78.967,11.733,126.0,62.8,31
IN020092300,KALLATTY,76.65,11.38,1753.0,150.0,31
IN009010201,KANAKAPURA,77.42,12.55,627.0,6.3,31
IN020031000,KANGAYAM,77.57,11.0,318.0,195.0,31
IN010040200,KANJIRAPALLY,76.78,9.57,78.0,372.2,31
IN009162701,KANKANKOTE,76.2,11.92,711.0,66.0,31
IN009081500,KARIKE,75.45,12.47,1054.0,128.4,31
IN010032500,KARIKODE,76.67,9.83,216.0,199.2,31
IN009081701,KARMAD,76.07,12.12,853.0,27.0,31
IN010081900,KARUNAGAPALLI,76.53,9.07,12.0,253.7,31
IN020091700,KETTY,76.77,11.38,2042.0,40.0,31
IN009153600,KIKKERI,76.42,12.78,817.0,0.0,31
IN020141000,KO253LPATTI            SR,77.87,9.17,88.0,127.9,31
IN020081000,KODAIKANAL,77.467,10.233,2343.0,118.7,31
IN020092000,KODANAND,76.92,11.5,1989.0,107.3,31
IN020030900,KODUMUDI,77.87,11.08,147.0,38.8,31
IN009161300,KOLLEGAL,77.12,12.12,671.0,72.8,31
IN009114600,KONANUR,76.05,12.63,833.0,76.2,31
IN010081600,KONNI,76.85,9.22,87.0,303.7,31
IN020091900,KOTAGIRI,76.87,11.43,1908.0,69.5,31
IN010082100,KOTTARAKARA,76.77,9.02,42.0,275.9,31
IN010040800,KOTTAYAM  P.W.D,76.53,9.58,7.0,194.4,31
IN010050700,KOZHIKODE,75.783,11.25,5.0,154.1,31
IN020050901,KRISHNAGIRI,78.23,12.53,224.0,89.5,31
IN009162000,KRISHNARAJNAGAR,76.42,12.43,816.0,49.5,31
IN010041900,KUMILY,77.17,9.58,823.0,208.3,31
